artist_id,artist
1,A Flock of Seagulls
2,Feist
3,St Germain
4,Arlo Guthrie
5,Matthew Sweet
6,Owl City
7,Faith Hill
8,Don McLean
9,Jethro Tull
10,Lee Ann Womack
11,Angus
12,The Wailin' Jennys
13,Stevie Wonder
14,Earl Klugh
15,Mother Earth
16,The Civil Wars
17,As good as it gets
18,Bob Dylan
19,Black Lodge Singers
20,WAI.TAI
21,Evanescence
22,Arctic Monkeys
23,Shona laing
24,Varios
25,Soul Divas
26,Xavier Rudd
27,Lynyrd Skynyrd
28,Herbs
29,Average White Band
30,Icehouse
31,Gin Wigmore
32,Oceania
33,Mumford & Sons
34,Flogging Molly
35,The Nolans
36,Belinda Carlisle
37,Nancy Wilson
38,Ronan Keating
39,Gael Force
40,Wolfstone
41,Country Joe
42,Pink Floyd
43,Big Country
44,Sarah Slean
45,St. Vincent
46,Mum
47,Chris Rea
48,Imagine Dragons
49,Enya
50,Acoustic Alchemy
51,Dixie Chicks
52,James Taylor
53,Enigma
54,Alison Krauss
55,three decades of males
56,Dave Dobbyn
57,Chris de Burgh
58,Jackson Browne
59,Fleetwood Mac
60,Dixie Chicks & James Taylor
61,The Bangles
62,Wendy Matthews
63,David Byrne & St. Vincent
64,Rickie Lee Jones
65,Pet Shop Boys
66,Daughter
67,Wilson Phillips
68,Nina Simone
69,Joe Cocker
70,Maria Muldaur
71,The Front Lawn
72,The Cranberries
73,Susanna Hoffs
74,The Fish
75,Julia Stone